amount,merchant_risk,location_risk,velocity_flag,fraud
13317,0,0,0,0
9064,0,0,1,1
2773,1,0,1,1
3804,1,0,1,1
3540,1,0,0,0
2843,1,0,1,1
4878,1,1,0,1
2769,1,0,1,1
1137,1,0,1,1
3561,0,0,1,0
4548,0,0,0,0
9385,1,1,0,1
6415,1,0,0,1
2929,0,1,0,0
6444,1,0,1,1
10990,0,0,1,1
7843,1,1,0,1
3186,1,0,0,0
14286,1,1,1,1
10346,1,1,0,1
13447,0,1,1,1
601,0,1,1,1
10811,1,0,1,1
11459,1,1,0,1
3352,1,0,1,1
1911,0,1,1,1
3342,0,0,0,0
12579,1,0,0,1
842,0,0,1,0
7952,0,1,1,1
2555,0,0,1,0
5611,0,0,0,0
4519,0,0,1,0
1823,1,0,0,0
9258,1,0,1,1
12150,0,1,1,1
253,1,0,1,1
3445,0,0,0,0
8125,1,0,0,1
1867,1,0,1,1
5057,0,0,0,0
2217,1,1,1,1
6607,1,1,1,1
2856,0,1,1,1
11697,1,1,0,1
2445,1,1,0,1
14059,1,1,0,1
8524,1,0,0,1
7639,0,1,0,1
14314,1,0,0,1
13908,0,0,1,1
6533,0,1,1,1
6583,1,1,1,1
3127,0,1,0,0
6519,0,0,1,1
10580,1,1,0,1
7831,1,0,0,1
3029,1,1,0,1
7564,0,1,1,1
13211,1,1,1,1
11560,0,1,1,1
7323,1,1,0,1
10206,1,1,0,1
7049,0,0,0,0
4557,0,1,1,1
10267,1,1,0,1
4558,1,1,0,1
2263,1,1,1,1
4823,1,0,0,0
12648,0,1,0,1
10165,0,0,1,1
2908,1,0,1,1
8291,0,1,1,1
14217,1,0,1,1
6194,1,0,0,1
14007,1,0,1,1
10167,1,0,1,1
968,0,1,0,0
2095,1,0,1,1
9584,0,1,0,1
3479,0,1,1,1
10004,1,1,0,1
8450,0,1,1,1
3559,0,0,1,0
7059,0,1,1,1
538,0,0,0,0
10215,0,1,0,1
3321,0,1,1,1
7710,0,0,0,0
3570,1,1,0,1
2187,1,1,0,1
2042,1,0,1,1
2237,0,0,0,0
12607,1,1,0,1
6339,0,0,0,0
14690,0,0,0,0
7765,0,0,0,0
3416,0,1,1,1
2693,1,1,0,1
5009,1,0,1,1
13745,1,0,0,1
9921,0,0,1,1
1253,1,0,1,1
9932,1,0,0,1
2739,1,0,0,0
9646,1,1,0,1
10406,1,1,0,1
13292,1,0,1,1
11125,1,0,1,1
7394,0,1,1,1
6910,0,1,1,1
9647,1,0,0,1
6223,0,1,0,1
2188,1,0,0,0
9735,1,1,0,1
14536,0,0,1,1
2475,1,1,1,1
6970,1,1,0,1
1727,0,1,0,0
4164,0,0,1,0
6474,0,0,0,0
3922,0,1,0,0
14786,1,0,1,1
5191,0,0,0,0
13827,1,1,1,1
4921,0,0,0,0
11630,0,1,1,1
1821,1,0,1,1
215,0,1,1,1
3328,1,1,0,1
7318,1,0,0,1
2000,1,1,0,1
8403,0,1,1,1
1088,1,1,0,1
3317,1,0,1,1
6613,1,0,0,1
8144,0,0,1,1
10244,1,1,1,1
8801,0,1,1,1
2328,1,0,1,1
9909,1,0,0,1
903,1,0,1,1
946,0,1,0,0
4959,0,1,0,0
11724,0,0,0,0
13759,0,0,0,0
6711,0,0,0,0
13967,1,1,1,1
8987,0,1,1,1
7013,0,0,1,1
1328,0,0,1,0
14207,1,0,1,1
803,1,1,1,1
14480,1,0,0,1
9125,0,0,1,1
13824,1,1,0,1
4427,1,1,1,1
14205,0,1,0,1
14983,1,1,1,1
4162,1,1,0,1
8848,1,1,0,1
12500,1,1,0,1
9630,0,0,0,0
9616,0,1,1,1
33,0,0,0,0
4639,0,1,1,1
3535,1,1,0,1
10584,0,1,0,1
5616,0,1,1,1
14572,1,0,0,1
8259,1,0,0,1
1123,0,0,0,0
13353,0,0,0,0
12599,0,1,0,1
14125,0,0,1,1
11649,1,1,0,1
13362,1,0,1,1
6014,0,1,0,1
3057,1,0,0,0
13451,0,1,0,1
1034,0,1,0,0
10297,0,1,0,1
2340,0,1,0,0
4494,1,1,1,1
6715,0,1,1,1
4904,1,1,1,1
8150,1,1,0,1
8024,1,0,0,1
9707,1,0,1,1
10118,0,0,1,1
8073,1,0,1,1
10162,1,1,0,1
3179,0,1,1,1
6615,1,1,0,1
12846,1,1,0,1
5441,0,1,0,1
13640,1,0,0,1
12488,1,0,0,1
13746,1,1,1,1
12177,1,1,1,1
11172,0,0,1,1
9654,0,0,1,1
13336,1,1,0,1
1145,0,0,0,0
3689,0,1,0,0
12616,0,0,0,0
785,1,1,0,1
3024,0,1,1,1
5740,0,1,0,1
4040,0,1,1,1
4718,1,0,1,1
6951,0,1,1,1
12420,0,0,1,1
4699,1,0,0,0
5396,0,0,0,0
13545,0,1,1,1
6439,1,1,0,1
9494,0,1,0,1
10890,1,0,1,1
8394,0,0,0,0
320,0,1,0,0
14861,0,1,0,1
14791,0,0,1,1
11735,1,1,0,1
3620,0,1,1,1
13392,1,1,1,1
4934,1,0,1,1
279,0,0,1,0
9037,1,1,1,1
5769,0,1,0,1
4572,1,1,1,1
4908,1,0,0,0
74,1,0,1,1
14532,1,1,1,1
790,0,0,1,0
728,0,0,0,0
8285,1,0,0,1
10330,1,0,1,1
1660,1,1,0,1
12396,1,1,0,1
12784,0,1,0,1
5917,0,1,1,1
10216,0,1,1,1
5253,0,0,0,0
3073,1,0,1,1
3782,0,1,1,1
12582,1,1,1,1
4237,1,1,1,1
2682,0,1,0,0
13211,1,1,0,1
11189,1,1,1,1
10240,1,0,1,1
14076,1,1,0,1
7426,0,0,1,1
58,1,0,0,0
13156,0,0,1,1
11528,1,1,0,1
519,1,0,0,0
12528,1,0,1,1
9147,1,0,1,1
10010,1,1,0,1
6960,0,1,0,1
12700,0,1,1,1
1704,0,0,1,0
5396,0,0,0,0
4854,1,0,1,1
12840,1,1,1,1
9535,0,0,0,0
2784,1,0,0,0
5868,1,1,0,1
12403,1,0,0,1
7763,0,0,1,1
6583,1,1,0,1
10921,1,1,1,1
6929,0,0,1,1
10288,1,0,0,1
6737,0,1,1,1
3524,1,0,0,0
2922,1,0,0,0
12630,0,1,0,1
4752,1,1,0,1
954,0,0,1,0
956,1,0,1,1
3895,1,0,1,1
35,1,1,1,1
7750,1,0,1,1
3550,1,1,0,1
383,1,1,1,1
7011,0,0,1,1
10252,0,0,1,1
10966,1,0,1,1
8213,0,0,1,1
4467,0,1,0,0
12749,1,0,1,1
14018,0,1,0,1
2697,1,1,1,1
2268,1,1,1,1
13274,1,1,0,1
12301,1,1,1,1
9914,0,0,1,1
2176,0,0,1,0
8417,0,0,1,1
8436,0,0,0,0
4522,1,0,1,1
853,0,0,1,0
606,0,1,0,0
8391,1,0,0,1
12724,1,0,0,1
11194,0,1,1,1
5420,0,0,0,0
12359,0,1,0,1
14259,0,1,1,1
4815,0,0,0,0
175,1,0,1,1
3949,1,1,0,1
8674,1,1,1,1
14810,1,1,0,1
13401,0,1,1,1
12702,0,1,0,1
4889,1,0,0,0
4549,1,0,0,0
12044,0,0,1,1
1607,1,0,0,0
4473,0,0,1,0
11538,0,1,0,1
12471,0,0,0,0
11921,0,0,1,1
5352,1,0,0,1
14859,0,0,0,0
5770,0,0,1,1
11820,0,1,1,1
14273,1,0,1,1
12039,0,0,0,0
5493,0,0,1,1
497,0,1,0,0
2873,1,1,1,1
12680,0,0,0,0
11615,0,1,0,1
11224,0,1,1,1
7565,1,0,1,1
1413,1,1,1,1
1481,1,1,1,1
7172,0,1,0,1
1801,1,1,0,1
11475,1,0,0,1
9010,1,1,1,1
3256,1,1,0,1
5340,0,1,0,1
1088,0,0,0,0
9634,0,0,0,0
8230,0,1,1,1
9452,1,0,0,1
12016,1,1,1,1
8118,0,1,1,1
3843,0,0,0,0
8548,1,1,1,1
5205,0,1,0,1
9457,1,1,1,1
496,1,1,0,1
1238,0,0,1,0
8068,0,1,0,1
3040,1,1,0,1
7386,0,0,0,0
2501,1,0,0,0
1190,1,1,0,1
11100,1,1,0,1
1802,1,0,0,0
1801,1,1,1,1
5705,1,1,0,1
3644,1,1,0,1
4019,1,1,0,1
1756,0,0,1,0
14006,1,0,0,1
2439,0,1,1,1
3660,1,1,1,1
3602,0,1,1,1
9526,1,1,0,1
14236,0,0,1,1
1410,0,1,0,0
13394,1,0,1,1
13985,1,0,1,1
2390,1,0,0,0
4437,0,0,1,0
13729,1,0,0,1
10597,1,1,0,1
14918,1,0,0,1
3602,1,0,0,0
6370,1,1,0,1
14172,1,0,0,1
9078,0,1,0,1
8683,1,0,1,1
212,1,1,1,1
14273,0,1,0,1
2428,1,0,0,0
480,1,1,1,1
175,0,0,1,0
9890,0,0,1,1
12394,1,0,1,1
14592,0,1,1,1
10687,1,1,0,1
11583,0,0,1,1
10419,0,1,0,1
14253,0,1,1,1
3360,1,1,1,1
9331,1,1,0,1
1849,1,1,0,1
9106,0,0,0,0
11449,0,1,0,1
11554,1,1,1,1
12152,1,1,1,1
5861,0,0,0,0
3454,0,1,0,0
11116,1,0,1,1
1540,0,1,1,1
11680,0,0,1,1
2119,1,0,1,1
5942,0,0,1,1
5072,0,0,1,1
11645,0,1,1,1
11092,1,0,0,1
7325,0,1,0,1
13765,1,0,1,1
7605,1,1,0,1
3890,1,1,1,1
3930,0,1,1,1
10272,1,0,0,1
12444,1,0,1,1
11178,1,0,0,1
13042,1,1,0,1
13185,0,0,0,0
1089,0,1,0,0
13978,1,1,0,1
10756,0,0,1,1
7360,1,0,1,1
7522,0,0,0,0
654,1,0,1,1
14734,1,1,1,1
579,1,1,0,1
12081,0,1,0,1
8252,1,1,1,1
1276,0,0,1,0
9234,1,0,1,1
7338,1,1,1,1
2139,0,1,1,1
11920,1,0,0,1
2738,0,0,0,0
14087,0,1,0,1
8042,1,1,1,1
4211,1,1,1,1
14874,1,0,1,1
4926,1,1,0,1
7186,0,1,1,1
2190,1,0,0,0
13094,1,1,1,1
9523,0,0,1,1
5227,1,1,0,1
7320,0,1,0,1
5176,1,0,1,1
2494,1,0,1,1
5385,0,1,0,1
14840,0,1,0,1
6877,1,1,0,1
10301,1,1,0,1
6780,0,0,0,0
14307,1,0,1,1
976,1,0,1,1
13923,0,1,0,1
2048,0,0,1,0
8339,1,1,0,1
3224,0,1,1,1
13588,0,0,1,1
9554,0,0,0,0
2127,1,0,1,1
2761,0,0,1,0
12825,1,1,0,1
433,1,0,1,1
12738,0,0,1,1
14362,1,0,1,1
8458,1,1,1,1
5109,0,0,1,1
3526,0,1,0,0
10091,1,1,1,1
3730,1,0,0,0
13638,0,1,0,1
11375,0,1,1,1
7425,1,1,0,1
8421,1,0,0,1
10332,1,0,1,1
5536,0,1,1,1
3773,1,1,1,1
1739,1,0,0,0
2964,0,0,0,0
9034,1,1,0,1
5627,0,0,0,0
4897,1,0,0,0
2392,1,1,0,1
11974,0,0,0,0
2284,1,1,0,1
202,0,0,0,0
4061,1,0,0,0
1253,0,0,0,0
9533,0,1,0,1
1360,0,1,1,1
4114,1,0,1,1
927,0,1,0,0
5391,0,0,1,1
10579,1,0,1,1
2119,0,1,1,1
447,0,1,0,0
11075,1,1,1,1
11364,0,1,1,1
10972,1,1,0,1
5751,0,0,0,0
5655,0,1,1,1
14888,0,0,1,1
2821,1,0,1,1
8384,1,1,0,1
8503,1,0,0,1
3917,0,1,1,1
4798,1,0,1,1
14627,0,0,1,1
7107,1,0,1,1
12552,1,1,1,1
8830,0,1,0,1
7908,1,1,0,1
1153,1,0,0,0
5804,1,1,0,1
14520,0,0,1,1
1498,1,1,0,1
463,0,0,1,0
10042,0,0,0,0
11320,0,1,0,1
7096,1,1,1,1
7489,0,0,1,1
9770,0,0,1,1
1719,1,1,0,1
9851,1,0,0,1
1821,1,0,0,0
2714,0,1,0,0
7620,1,1,0,1
7290,0,1,1,1
3628,0,0,0,0
3320,0,1,1,1
12964,1,0,0,1
12169,1,1,0,1
5543,1,0,1,1
3372,1,0,1,1
6426,0,0,1,1
7059,1,1,1,1
14390,0,1,1,1
9330,0,1,1,1
141,1,0,1,1
14547,0,0,1,1
8295,0,0,1,1
5012,1,0,1,1
9148,0,0,0,0
10118,1,0,0,1
5426,0,1,0,1
9394,1,0,0,1
7839,1,0,1,1
6289,0,1,1,1
672,1,1,0,1
4589,0,0,0,0
14172,1,1,0,1
13733,1,0,1,1
411,0,1,0,0
1315,0,1,0,0
9649,1,0,0,1
6434,1,0,0,1
2566,1,0,0,0
5755,0,1,1,1
8470,0,0,1,1
7067,0,0,1,1
9707,1,1,1,1
6258,0,0,1,1
8835,1,0,1,1
7179,1,1,0,1
13227,0,0,0,0
1172,0,1,1,1
14552,1,1,0,1
12441,1,1,0,1
579,0,0,0,0
5214,0,1,1,1
2590,0,0,0,0
11835,0,1,1,1
9134,0,1,0,1
3855,0,1,1,1
11282,1,1,1,1
2000,0,1,1,1
5730,0,1,1,1
5854,0,1,1,1
2091,0,0,1,0
13852,1,1,0,1
13143,0,0,1,1
9549,0,1,0,1
3256,1,0,1,1
10565,0,1,0,1
3944,1,1,0,1
572,1,0,0,0
12800,1,0,0,1
7133,1,1,0,1
10193,0,0,0,0
12460,0,0,0,0
12254,0,1,0,1
8627,0,0,1,1
486,1,0,0,0
14512,1,1,0,1
6107,0,1,1,1
3686,0,1,1,1
14557,0,1,0,1
6482,1,1,0,1
12172,0,1,0,1
10325,1,1,1,1
1191,0,0,0,0
5125,0,1,0,1
10394,1,1,1,1
4068,0,1,0,0
5966,1,1,1,1
7633,1,0,1,1
11467,0,0,1,1
8239,1,0,0,1
9536,1,1,1,1
8409,0,0,0,0
6991,0,1,0,1
10870,1,0,0,1
12788,1,0,0,1
6974,0,0,1,1
11370,1,0,0,1
9963,1,1,1,1
13191,0,1,0,1
366,0,0,1,0
227,1,1,1,1
13571,1,0,1,1
5037,0,1,1,1
8028,0,1,0,1
12193,1,1,1,1
10952,0,1,0,1
5211,1,0,1,1
8113,0,1,0,1
877,1,0,1,1
10368,1,1,0,1
12933,0,1,1,1
3510,1,1,0,1
3934,1,0,1,1
14676,0,1,0,1
12730,1,0,1,1
2734,1,0,1,1
3791,0,0,1,0
9887,0,1,1,1
2659,1,1,1,1
3158,0,0,1,0
4779,0,1,0,0
4842,1,1,0,1
14093,0,0,0,0
7661,1,1,1,1
11494,1,0,0,1
5612,1,0,1,1
9578,0,0,0,0
13360,1,1,0,1
11231,1,0,1,1
2336,0,0,1,0
13015,1,1,1,1
1058,1,0,1,1
12687,0,1,1,1
14740,0,0,0,0
9282,1,0,0,1
8861,1,1,0,1
6537,1,1,1,1
1738,1,1,1,1
3473,0,0,1,0
351,0,1,1,1
10050,0,0,1,1
571,1,1,1,1
10081,1,1,1,1
1150,1,0,0,0
9856,1,1,1,1
6953,1,0,0,1
12515,0,0,1,1
11080,0,1,1,1
206,0,0,0,0
5225,0,1,0,1
14109,0,1,1,1
4525,1,0,0,0
3783,0,0,0,0
3244,0,0,1,0
12779,1,1,1,1
13530,1,1,0,1
6259,1,0,0,1
4014,0,1,0,0
12731,0,0,0,0
1189,0,0,0,0
12899,0,1,0,1
2848,0,1,1,1
3255,1,0,1,1
1741,1,1,1,1
14270,0,1,1,1
10360,0,1,0,1
4490,1,0,1,1
1058,0,0,0,0
4506,0,0,1,0
2654,0,0,0,0
6442,1,0,1,1
6516,1,0,0,1
14195,1,0,1,1
10290,1,1,1,1
13862,0,1,0,1
8694,0,1,1,1
13203,0,1,1,1
280,0,1,0,0
6637,0,1,1,1
11244,1,1,1,1
2878,1,1,0,1
13670,0,0,0,0
3715,0,0,0,0
2902,0,0,0,0
13502,0,0,0,0
7322,0,1,0,1
14993,0,0,0,0
7701,0,1,1,1
8394,1,0,0,1
10477,0,0,0,0
11734,0,0,1,1
13851,0,0,0,0
13713,0,0,0,0
9967,1,1,1,1
3051,1,0,1,1
3446,1,0,0,0
11263,0,1,1,1
2012,1,0,0,0
11439,1,1,1,1
2472,0,0,0,0
428,0,1,1,1
10003,0,1,0,1
11438,0,0,1,1
3288,1,1,1,1
14226,1,1,0,1
1299,1,0,1,1
3951,1,0,1,1
7098,0,1,0,1
8654,1,0,0,1
268,1,1,1,1
14090,0,1,0,1
8192,1,1,1,1
537,0,1,1,1
14907,1,0,1,1
14039,1,1,0,1
12125,0,0,1,1
3203,1,1,0,1
9898,1,0,1,1
12709,1,0,0,1
12755,0,0,1,1
4501,1,0,1,1
11510,1,1,1,1
11845,1,1,0,1
214,0,1,1,1
5531,0,1,0,1
32,1,0,1,1
7084,0,0,1,1
13420,0,0,1,1
4377,1,0,0,0
311,1,1,0,1
6599,1,1,1,1
8698,1,0,0,1
1553,1,0,1,1
7340,0,0,0,0
10538,1,1,1,1
4244,1,0,0,0
4239,1,0,1,1
10536,1,1,0,1
